Name;experiment;size-dataset;date_range;lookback;dropout;learning_rate;RSME;MAPE;mae;loss;epoch;Runtime;State;Notes;User;Tags;Created;Sweep;activation_1;architecture_name;batch_size;dataset_name;loss_function;best_epoch;best_val_loss;val_loss;val_mae
skilled-monkey-22;effect-size-ds;3y;2020-2023;20d;0,1;0,0081035;176,8112432;3,217166724;0,025278579;0,001197389;100;278;finished;-;sal-souzasa;;2023-09-12T17:53:15.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392559552;392561696;19687,13477
comfy-armadillo-21;effect-size-ds;3y;2020-2023;20d;0,1;0,00507001;149,6311703;2,529205473;0,023566134;0,00108584;100;348;finished;-;sal-souzasa;;2023-09-12T17:45:54.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;51;392560544;392561440;19687,13086
scarlet-rain-20;effect-size-ds;3y;2020-2023;20d;0,1;0,005178247;29,61773928;2,529375805;0,022124344;0,000887848;100;581;finished;-;sal-souzasa;;2023-09-12T17:20:35.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;91;392560736;392561568;19687,13281
likely-bird-19;effect-size-ds;3y;2020-2023;20d;0,1;0,008661065;289,4786382;2,69204655;0,022105418;0,000895552;100;231;finished;-;sal-souzasa;;2023-09-12T17:15:07.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392558752;392561376;19687,12695
expert-energy-18;effect-size-ds;3y;2020-2023;20d;0,1;0,004109133;92,72245481;2,465300087;0,020611471;0,000839291;100;226;finished;-;sal-souzasa;;2023-09-12T17:09:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392559328;392561536;19687,13086
stilted-armadillo-17;effect-size-ds;3y;2020-2023;10d;0,1;0,008668894;712,2912258;4,185943544;0,023597287;0,000965168;100;1074;finished;-;sal-souzasa;;2023-09-12T16:45:13.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;35;392560800;392561120;19687,12109
warm-jazz-16;effect-size-ds;3y;2020-2023;10d;0,1;0,007762283;281,6450787;2,969888602;0,020952927;0,000816989;100;694;finished;-;sal-souzasa;;2023-09-12T16:32:12.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;18;392560064;392561792;19687,13477
generous-cloud-15;effect-size-ds;3y;2020-2023;10d;0,1;0,002644374;53,55161768;2,741961411;0,023181528;0,001055253;100;463;finished;-;sal-souzasa;;2023-09-12T16:21:46.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;95;392560864;392561632;19687,13477
dulcet-sponge-14;effect-size-ds;3y;2020-2023;10d;0,1;0,057338895;1904,426815;11,51797749;0,02584682;0,001150873;100;183;finished;-;sal-souzasa;;2023-09-12T16:17:25.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392551136;392560352;19687,10156
rare-armadillo-13;effect-size-ds;3y;2020-2023;10d;0,1;0,08222246;47879,46099;247,6590566;0,580674112;0,421894044;100;194;finished;-;sal-souzasa;;2023-09-12T16:13:16.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392531616;392531616;19686,36719
sleek-river-12;effect-size-ds;3y;2020-2023;10d;0,1;0,093876348;47879,46099;247,6590566;0,580674112;0,421894073;100;176;finished;-;sal-souzasa;;2023-09-12T16:09:26.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392531616;392531616;19686,36719
peach-forest-11;effect-size-ds;3y;2020-2023;10d;0,1;0,057458393;343,3604041;3,501288404;0,027685124;0,001275;100;183;finished;-;sal-souzasa;;2023-09-12T16:05:19.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392551904;392561344;19687,125
stellar-tree-8;effect-size-ds;3y;2020-2023;10d;0,1;0,091909328;47879,46099;247,6590566;0,580674171;0,421894073;100;184;finished;-;sal-souzasa;;2023-09-12T15:24:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392531616;392531616;19686,36719
fast-cherry-7;effect-size-ds;3y;2020-2023;05d;0,1;0,07234684;585,9683734;4,700073905;0,037509024;0,002201945;100;185;finished;-;sal-souzasa;;2023-09-12T15:17:55.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;2;392551392;392561152;19687,12109
worthy-galaxy-6;effect-size-ds;3y;2020-2023;05d;0,1;0,040139108;14,3491189;2,935946089;0,024267757;0,001000982;100;139;finished;-;sal-souzasa;;2023-09-12T15:13:47.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392555904;392561568;19687,13281
rose-snowball-5;effect-size-ds;3y;2020-2023;05d;0,1;0,052780941;2356,717502;12,33187285;0,055679403;0,005252487;100;205;finished;-;sal-souzasa;;2023-09-12T15:08:44.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392546528;392560000;19687,09375
revived-dream-4;effect-size-ds;3y;2020-2023;05d;0,1;0,036105117;1333,364744;7,160207335;0,028343026;0,001363105;100;167;finished;-;sal-souzasa;;2023-09-12T15:05:02.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392556384;392560704;19687,10938
young-grass-3;effect-size-ds;3y;2020-2023;05d;0,1;0,059650183;173,941323;2,83264867;0,021066135;0,000805349;100;156;finished;-;sal-souzasa;;2023-09-12T15:01:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392555328;392561664;19687,13477
driven-music-1;effect-size-ds;3y;2020-2023;05d;0,1;0,032187796;1812,426316;9,862628063;0,025784245;0,001065154;100;1954;finished;-;sal-souzasa;;2023-09-12T14:17:40.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;15;392560448;392562688;19687,16211
